name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,1002,41.04,13.22,41.55,15.7,13.93,99
10%+WM,310,39.39,12.87,39.5,15.41,5.394,99
80%+GM,1002,41.04,13.22,41.55,15.7,13.93,99
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,0,,,,,,
Left_Cerebral_White_Matter_80%+,2,,,,,,
Right Caudate,1,,,,,,
Right Cerebellum,177,39.59,6.454,40.18,7.761,39.81,75
Right Frontal Lobe,103,41.5,13.35,44.5,16.75,37.72,92
Right Insula,25,49.65,4.967,48.76,6.924,49.41,2
Right Occipital Lobe,52,39.76,8.137,39.95,10.91,39.53,84
Right Parietal Lobe,51,51.96,10.71,54.93,18.13,49.45,89
Right Putamen,0,,,,,,
Right Temporal Lobe,152,35.52,12.98,36.06,14.73,2.219,99
Right Thalamus,0,,,,,,
Left Caudate,2,,,,,,
Left Cerebellum,177,37.6,8.37,38.22,9.554,36.81,86
Left Frontal Lobe,144,49.03,11.54,49.47,15.34,46.93,90
Left Insula,51,50.88,7.952,49.89,6.714,51.79,67
Left Occipital Lobe,107,40.02,9.788,40.35,10.01,39.29,92
Left Parietal Lobe,80,51.84,12.04,52.08,18.9,48.77,92
Left Putamen,4,,,,,,
Left Temporal Lobe,137,33.3,15.16,34.85,19.99,29.36,95
Left Thalamus,0,,,,,,
RICA,156,38.55,14.22,40.26,17.6,2.306,99
LICA,225,45.55,15.1,48.24,18.87,43.53,94
VBA,211,38.31,8.472,39.11,9.486,37.24,88
Frontal Pole,8,,,,,,
Insular Cortex,22,50.21,5.666,51.59,6.815,49.66,47
Superior Frontal Gyrus,1,,,,,,
Middle Frontal Gyrus,2,,,,,,
"Inferior Frontal Gyrus, pars triangularis",1,,,,,,
"Inferior Frontal Gyrus, pars opercularis",2,,,,,,
Precentral Gyrus,11,50.86,5.586,49.52,9.252,50.56,65
Temporal Pole,24,30.22,10.62,29.91,12.6,31.79,83
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, temporooccipital part",2,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",1,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",0,,,,,,
Postcentral Gyrus,0,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",1,,,,,,
"Supramarginal Gyrus, posterior division",1,,,,,,
Angular Gyrus,1,,,,,,
"Lateral Occipital Cortex, superior division",18,40.08,10.69,39.48,10.68,39.09,92
"Lateral Occipital Cortex, inferior division",12,29.61,10.45,29.5,15.91,27.94,90
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,11,31.12,4.056,30.63,6.187,31.08,47
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3,,,,,,
Subcallosal Cortex,10,45.28,12.75,45.8,19.81,41.14,86
Paracingulate Gyrus,27,47.28,8.918,49.32,9.883,46.88,74
"Cingulate Gyrus, anterior division",15,51.83,7.623,55.14,11.22,51.42,68
"Cingulate Gyrus, posterior division",25,61.81,5.312,61.85,7.931,61.96,25
Precuneous Cortex,16,56.62,7.263,56.4,10.83,57.21,71
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,8,,,,,,
"Parahippocampal Gyrus, anterior division",0,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,0,,,,,,
"Temporal Fusiform Cortex, anterior division",0,,,,,,
"Temporal Fusiform Cortex, posterior division",3,,,,,,
Temporal Occipital Fusiform Cortex,1,,,,,,
Occipital Fusiform Gyrus,5,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,3,,,,,,
Parietal Operculum Cortex,2,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,1,,,,,,
Left Cerebral White Matter,36,45.06,14.82,42.89,22.75,42.82,94
Left Cerebral Cortex,313,44.09,15.66,46.86,19.06,39.55,95
Left Lateral Ventricle,0,,,,,,
Left Thalamus,0,,,,,,
Left Caudate,0,,,,,,
Left Putamen,0,,,,,,
Left Pallidum,0,,,,,,
Brain-Stem,0,,,,,,
Left Hippocampus,4,,,,,,
Left Amygdala,8,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,6,,,,,,
Right Cerebral Cortex,248,41.29,13.99,42.79,18.39,3.886,99
Right Lateral Ventricle,0,,,,,,
Right Thalamus,0,,,,,,
Right Caudate,0,,,,,,
Right Putamen,0,,,,,,
Right Pallidum,0,,,,,,
Right Hippocampus,7,,,,,,
Right Amygdala,8,,,,,,
Right Accumbens,0,,,,,,
