name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,9745,21.81,10.26,20.34,13.47,21.62,45
80%+GM,203,24.98,7.69,24.86,11.18,25.02,0
10%+WM,12228,23.13,11.01,21.36,14.07,22.86,65
90%+WM,2251,27.63,12.14,25.31,14.04,24.05,85
gmmask_pure_cort,101,20.89,7.21,20.34,9.00,20.91,0
wmmask_pure_cereb,1868,23.79,8.60,23.14,10.31,21.78,77
Right_Cerebral_White_Matter_80%+,1168,21.34,7.66,20.87,9.61,20.72,62
Left_Cerebral_White_Matter_80%+,1200,23.20,8.51,23.00,10.42,21.82,71
Right Caudate,131,25.43,6.07,25.34,6.72,25.15,0
Right Cerebellum,436,38.60,8.73,38.19,9.77,40.05,31
Right Frontal Lobe,1593,19.42,6.57,19.46,7.35,19.91,3
Right Insula,71,22.67,4.10,22.02,4.85,23.24,0
Right Occipital Lobe,679,20.60,9.82,19.93,15.68,18.84,57
Right Parietal Lobe,1309,16.49,9.99,14.29,13.89,17.96,54
Right Putamen,102,32.39,7.91,31.69,9.33,32.77,37
Right Temporal Lobe,890,17.42,7.44,15.59,9.62,17.38,0
Right Thalamus,157,38.03,8.85,38.38,9.17,36.95,60
Left Caudate,113,29.04,8.74,31.36,11.85,28.22,42
Left Cerebellum,410,38.49,9.01,37.15,11.57,39.75,39
Left Frontal Lobe,1618,23.31,9.41,22.48,11.99,23.50,45
Left Insula,86,24.01,5.81,24.19,10.05,24.34,0
Left Occipital Lobe,791,19.57,7.60,18.85,11.26,17.40,50
Left Parietal Lobe,1206,20.38,7.36,19.47,9.04,20.79,34
Left Putamen,101,33.93,8.89,32.72,13.33,34.62,44
Left Temporal Lobe,813,18.40,7.51,17.98,9.35,17.39,19
Left Thalamus,148,42.70,8.77,42.89,12.75,42.36,51
RICA,2390,16.59,7.43,16.45,9.65,17.06,1
LICA,2443,20.30,8.69,18.98,10.66,20.24,34
VBA,914,21.03,8.84,20.82,13.42,20.56,36
Frontal Pole,320,27.75,7.15,27.36,12.04,27.75,0
Insular Cortex,14,19.71,2.00,20.40,2.63,19.71,0
Superior Frontal Gyrus,9,,,,,,
