name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,7962,17.2,11.34,15.41,16.9,17.19,43
10%+WM,9694,18.77,12.34,16.98,17.76,19.43,71
80%+GM,105,15.12,8.961,14.79,12.58,15.15,0
90%+WM,1417,25.07,13.78,23.27,19.79,21.33,92
Right_Cerebral_White_Matter_80%+,887,16.26,10.45,14.7,13.45,15.8,78
Left_Cerebral_White_Matter_80%+,898,17.65,11.19,16.03,14.41,17.16,79
Right Caudate,92,25.92,9.687,23.75,10.65,26.96,54
Right Cerebellum,546,28.77,7.979,27.46,10.33,31.37,26
Right Frontal Lobe,1352,17.71,10.25,16.13,12.92,17.97,53
Right Insula,147,22.22,7.881,22.16,10.72,22.19,44
Right Occipital Lobe,683,14.36,8.621,12.8,12.87,13.73,55
Right Parietal Lobe,1191,11.04,8.651,8.608,12.86,12.59,42
Right Putamen,193,35.06,10.72,33.94,14.9,36.01,66
Right Temporal Lobe,875,14.94,11.71,11.76,14.95,14.06,59
Right Thalamus,212,36.48,11.47,35.13,13.97,35.79,73
Left Caudate,180,26.33,10.99,24.68,12.11,26.54,60
Left Cerebellum,649,25.62,8.22,24.96,11.56,27.93,36
Left Frontal Lobe,1420,19.14,12.65,16.83,19.55,18.76,65
Left Insula,192,26.02,8.723,24.87,11.4,26.23,55
Left Occipital Lobe,859,14.26,8.863,12.7,12.46,14.67,59
Left Parietal Lobe,1170,13.21,10.05,10.21,13.47,14.22,58
Left Putamen,216,34.38,11.13,34.29,16.21,33.5,75
Left Temporal Lobe,888,18.77,11.5,17.02,15.65,18.5,49
Left Thalamus,213,37.67,10.96,36.85,14.89,38.12,70
RICA,1692,13.27,9.786,11.53,13.8,13.73,22
LICA,2107,16.65,12.08,13.72,18.11,16.64,52
VBA,1151,15.22,8.845,13.45,13.25,14.75,47
Frontal Pole,156,27.07,10.42,28.15,13.75,26.91,13
Insular Cortex,12,21.23,4.11,21.33,3.627,21.23,0
Superior Frontal Gyrus,3,,,,,,
Middle Frontal Gyrus,21,18.38,5.464,16.32,7.092,18.52,0
"Inferior Frontal Gyrus, pars triangularis",5,,,,,,
"Inferior Frontal Gyrus, pars opercularis",4,,,,,,
Precentral Gyrus,41,7.785,4.611,7.417,5.263,9.574,0
Temporal Pole,71,22.11,6.099,22.71,9.961,22.06,0
"Superior Temporal Gyrus, anterior division",1,,,,,,
"Superior Temporal Gyrus, posterior division",11,5.089,2.692,4.431,3.929,5.048,0
"Middle Temporal Gyrus, anterior division",7,,,,,,
"Middle Temporal Gyrus, posterior division",20,4.379,1.916,4.741,2.748,4.38,0
"Middle Temporal Gyrus, temporooccipital part",6,,,,,,
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",4,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",10,8.002,3.756,7.031,3.251,7.962,0
Postcentral Gyrus,31,4.03,2.419,3.666,3.698,3.956,0
Superior Parietal Lobule,16,3.116,1.896,2.564,1.277,3.086,0
"Supramarginal Gyrus, anterior division",5,,,,,,
"Supramarginal Gyrus, posterior division",5,,,,,,
Angular Gyrus,6,,,,,,
"Lateral Occipital Cortex, superior division",107,4.957,3.386,4.322,3.339,5.078,0
"Lateral Occipital Cortex, inferior division",50,8.29,3.6,7.309,6.161,8.304,0
Intracalcarine Cortex,10,22.86,4.695,23.08,7.338,23.03,0
Frontal Medial Cortex,17,6.674,2.738,6.552,4.329,6.795,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),7,,,,,,
Subcallosal Cortex,23,23.3,4.755,24.63,9.58,23.2,0
Paracingulate Gyrus,10,19.67,1.726,19.4,2.102,19.66,0
"Cingulate Gyrus, anterior division",36,23.53,7.236,20.68,11.69,23.64,0
"Cingulate Gyrus, posterior division",34,19.9,4.182,19.74,5.399,19.92,0
Precuneous Cortex,90,12.02,6.568,11.57,8.162,12.22,0
Cuneal Cortex,7,,,,,,
Frontal Orbital Cortex,43,31.41,3.822,30.79,4.602,31.27,0
"Parahippocampal Gyrus, anterior division",6,,,,,,
"Parahippocampal Gyrus, posterior division",1,,,,,,
Lingual Gyrus,63,28.59,7.071,27.75,7.135,32.5,49
