name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,12953,34.32,13.51,34.95,17.74,8.953e-05,99
10%+WM,11626,30.67,13.86,30.59,21.34,0.003095,98
80%+GM,534,44.76,10.88,45.05,13.07,46.87,77
90%+WM,2815,17.23,7.552,15.99,8.68,16.29,71
Right_Cerebral_White_Matter_80%+,968,17.64,8.638,15.98,7.785,17.46,80
Left_Cerebral_White_Matter_80%+,958,15.66,7.994,14.01,8.031,15.94,80
Right Caudate,121,26.39,11.1,24.23,16.26,25.16,76
Right Cerebellum,550,36.18,14.24,39.68,20.64,6.293e-05,99
Right Frontal Lobe,3170,30.31,14.1,31.54,21.94,7.19e-05,98
Right Insula,251,31.92,11.49,33.06,17.61,27.53,76
Right Occipital Lobe,1086,37.44,16.19,39.79,22.82,5.136e-05,99
Right Parietal Lobe,2243,34.12,15.86,35.39,23.58,0.0003134,99
Right Putamen,200,29.97,10.01,30.33,14.54,27.69,67
Right Temporal Lobe,1715,28.95,15.31,30.33,21.73,1.684e-05,98
Right Thalamus,244,32.85,15.2,32.78,21.55,31.5,88
Left Caudate,273,21.11,10.84,18.44,15.6,19.48,77
Left Cerebellum,579,35.61,13.82,38.78,18.88,6.614e-05,99
Left Frontal Lobe,3488,27.88,13.09,28.47,20.07,6.086e-05,97
Left Insula,306,27.13,10.95,28.18,16.68,23.06,78
Left Occipital Lobe,1252,33.38,15.66,35.24,23.38,5.816e-05,99
Left Parietal Lobe,2178,29.48,15.09,29.9,23.86,0.0002584,99
Left Putamen,229,25.46,9.276,25.6,13,23.65,69
Left Temporal Lobe,1723,26.05,14.45,27.74,20.05,1.318e-05,97
Left Thalamus,265,29.52,13.96,28.67,20.65,27.37,86
RICA,3435,35.34,13.49,36.5,17.21,0.000128,99
LICA,4236,30.57,12.79,31.33,17.4,7.837e-05,98
VBA,1785,34.66,14.68,36.38,19.37,5.247e-05,99
Frontal Pole,607,33.44,13.46,35.49,15.9,5.678e-05,98
Insular Cortex,42,37.23,6.109,36.7,8.192,37.97,0
Superior Frontal Gyrus,23,39.6,5.605,39.22,9.064,38.83,39
Middle Frontal Gyrus,67,37.89,10.62,37.59,15.35,35.45,88
"Inferior Frontal Gyrus, pars triangularis",7,,,,,,
"Inferior Frontal Gyrus, pars opercularis",17,37.75,7.515,39.44,9.683,36.05,71
Precentral Gyrus,86,35.09,10.49,37.59,14.58,31.52,91
Temporal Pole,161,32.78,7.182,33.18,9.555,32.46,45
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",14,43.25,11.3,43.75,19.2,41.26,85
"Middle Temporal Gyrus, anterior division",8,,,,,,
"Middle Temporal Gyrus, posterior division",48,36.27,12.51,33.94,18.34,37.83,85
"Middle Temporal Gyrus, temporooccipital part",36,37.01,11.25,37.78,13.17,35.84,85
"Inferior Temporal Gyrus, anterior division",1,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
