name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13048,57.33,31.36,56.87,32.81,1.114e-05,98
10%+WM,8078,55.38,22.38,56.53,26.14,2.002e-05,98
80%+GM,682,44.58,16.85,45.73,17.33,6.909e-05,99
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,309,52.73,16.24,54.52,20.58,52.44,8
Left_Cerebral_White_Matter_80%+,318,58.17,21.74,58.03,25.71,58.15,66
Right Caudate,106,44.43,19.47,46.42,31.54,46.97,57
Right Cerebellum,466,45.78,13.44,45.9,13.74,9.644e-05,98
Right Frontal Lobe,2450,55.43,35.74,54.99,36.96,5.243e-06,97
Right Insula,172,43.98,17.1,41.74,15.63,41.42,61
Right Occipital Lobe,939,60.96,22.07,60.98,26.69,3.222e-05,98
Right Parietal Lobe,1713,70,23.09,66.93,24.76,65.36,81
Right Putamen,111,39.51,10.54,40.23,11.98,38.7,0
Right Temporal Lobe,1475,37.64,24.42,39.85,35.98,3.768e-06,97
Right Thalamus,129,59.32,19.41,57.43,30.58,56.48,69
Left Caudate,143,48.64,23.05,52.61,33.98,51.24,65
Left Cerebellum,598,45.88,13.7,47.87,13.53,4.655e-05,98
Left Frontal Lobe,2498,63.34,39.84,61.95,39.76,7.09e-06,98
Left Insula,232,52.59,17.85,51.07,22.92,52.19,64
Left Occipital Lobe,1122,63.01,24.74,62.9,28.74,5.106e-05,99
Left Parietal Lobe,1552,72.39,24.9,70.38,28.12,67.83,86
Left Putamen,154,41.7,14.41,42.13,21.31,41.23,0
Left Temporal Lobe,1492,43.37,25.88,44.56,33.75,6.356e-06,97
Left Thalamus,134,63.04,17.76,61.94,22.99,60.18,68
RICA,3129,55.5,29.97,56.46,34.42,9.985e-06,98
LICA,3780,62.03,34.93,62.19,36.86,1.072e-05,98
VBA,1738,55.06,22.23,53.38,24.77,3.859e-05,98
Frontal Pole,603,44.1,46.93,42.58,58.86,1.141e-06,94
Insular Cortex,46,35.48,9.42,36.83,11.18,35.85,17
Superior Frontal Gyrus,19,66,18.33,60.82,19.92,59.54,74
Middle Frontal Gyrus,64,86.13,23.89,82.72,29.72,79.99,82
"Inferior Frontal Gyrus, pars triangularis",7,,,,,,
"Inferior Frontal Gyrus, pars opercularis",21,60.81,15.42,63.85,21.86,64.5,49
Precentral Gyrus,85,69.47,20.61,65.96,23.54,67.18,79
Temporal Pole,150,23.57,17.27,23.08,26.84,1.001e-06,86
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",16,65.81,13.49,66.57,21.02,66.23,78
"Middle Temporal Gyrus, anterior division",8,,,,,,
"Middle Temporal Gyrus, posterior division",38,65.05,23.74,63.73,25.04,3.805e-05,99
"Middle Temporal Gyrus, temporooccipital part",36,53.44,18.43,52.7,24.07,52.69,92
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",2,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",21,56.32,13.34,51.29,13.67,53.62,66
Postcentral Gyrus,71,64.21,18.28,64.12,28.64,57.55,82
Superior Parietal Lobule,22,73.37,23.34,66.5,27.11,68.81,83
"Supramarginal Gyrus, anterior division",26,65.29,21.09,65.21,29.72,57.66,89
