name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,14300,17.78,9.888,18.16,11.61,1.655e-05,97
10%+WM,11554,17.22,9.392,16.88,11.92,3.494e-05,97
80%+GM,540,22.38,10.79,23.28,11.26,2.84e-05,98
90%+WM,2497,11.75,7.605,10.69,8.56,0.0006503,91
Right_Cerebral_White_Matter_80%+,1049,9.698,6.781,8.491,8,0.0002888,85
Left_Cerebral_White_Matter_80%+,1050,11.59,7.38,10.49,7.815,0.0007917,91
Right Caudate,142,11.21,6.287,10.65,8.265,10.83,63
Right Cerebellum,766,20.06,8.326,21.31,10.31,4.257e-05,98
Right Frontal Lobe,3178,14.85,9.272,15.53,12.19,7.652e-06,94
Right Insula,247,13.43,4.679,13.27,6.502,13.11,0
Right Occipital Lobe,1202,22.25,10.98,22.28,15.11,7.615e-05,99
Right Parietal Lobe,2359,15.79,7.643,15.91,10.19,0.001194,97
Right Putamen,221,13.45,4.667,13.29,6.354,13.86,8
Right Temporal Lobe,1773,13.1,9.525,14.11,16.56,3.888e-06,94
Right Thalamus,277,18.05,8.201,16.78,12.21,18.06,82
Left Caudate,293,11.64,6.279,10.92,8.651,11.3,66
Left Cerebellum,744,19.54,9.159,20.69,12.43,3.951e-05,98
Left Frontal Lobe,3324,16.93,10.98,17.13,12.07,1.017e-05,96
Left Insula,316,15.74,4.36,15.51,5.445,15.94,16
Left Occipital Lobe,1429,20.56,10.57,20.67,15.01,0.0001072,98
Left Parietal Lobe,2246,17.89,8.545,17.97,12.26,0.000815,98
Left Putamen,254,15.17,4.617,14.83,6.302,15.35,17
Left Temporal Lobe,1816,13.83,10.12,15.16,19.52,4.543e-06,95
Left Thalamus,293,16.5,7.056,15.45,8.335,16.76,77
RICA,3576,16.36,8.662,17.02,9.627,1.151e-05,96
LICA,4514,17.56,10.38,18.59,11.65,1.142e-05,97
VBA,2001,21.34,10.33,21.05,13.64,9.672e-05,98
Frontal Pole,677,15.43,14.33,16.69,23.6,1.836e-06,91
Insular Cortex,48,15.34,3.43,15.03,4.412,15.3,0
Superior Frontal Gyrus,27,20.47,2.809,20.59,2.842,20.87,0
Middle Frontal Gyrus,65,22.15,6.241,22,7.765,21.95,75
"Inferior Frontal Gyrus, pars triangularis",8,,,,,,
"Inferior Frontal Gyrus, pars opercularis",20,19.22,3.093,18.76,4.937,19.56,0
Precentral Gyrus,100,20.48,4.996,20.41,6.651,20.41,59
Temporal Pole,166,8.94,9.349,6.807,16.43,3.546e-07,69
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",15,15.32,5.67,15.47,5.628,13.79,81
"Middle Temporal Gyrus, anterior division",7,,,,,,
"Middle Temporal Gyrus, posterior division",49,19.68,7.054,19.62,7.874,4.966e-05,96
"Middle Temporal Gyrus, temporooccipital part",41,18.14,9.007,17.81,14.57,17.68,89
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",4,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",29,19.94,6.156,17.35,7.835,20.48,77
Postcentral Gyrus,90,17.85,4.937,18.49,7.469,18.04,68
Superior Parietal Lobule,31,18.11,5.186,16.31,3.62,18.23,71
"Supramarginal Gyrus, anterior division",33,17.61,4.705,18.09,3.998,17.89,64
"Supramarginal Gyrus, posterior division",22,18.51,4.983,19.05,4.782,18.66,72
Angular Gyrus,38,17.97,4.661,18.29,5.698,18.11,54
"Lateral Occipital Cortex, superior division",338,21.08,7.752,21.12,10.04,21.33,84
"Lateral Occipital Cortex, inferior division",121,17.86,7.974,18.21,14.11,17.94,85
Intracalcarine Cortex,17,31.38,3.94,31.79,5.506,31.24,56
Frontal Medial Cortex,40,7.358,14.84,0,2.447,3.011e-08,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),50,19.57,3.631,19.96,3.856,19.57,0
Subcallosal Cortex,46,11.85,12.1,14.56,22.85,7.662e-07,88
Paracingulate Gyrus,102,19.57,6.417,18.88,6.397,18.6,5
"Cingulate Gyrus, anterior division",113,16.52,4.185,16.41,5.387,16.08,6
"Cingulate Gyrus, posterior division",79,27.5,5.113,28.1,7.086,27.63,45
Precuneous Cortex,170,26.53,5.875,27.71,7.334,26.36,72
Cuneal Cortex,16,29.92,2.887,29.77,3.733,29.63,0
Frontal Orbital Cortex,91,17.67,8.456,19.58,6.103,2.478e-06,87
"Parahippocampal Gyrus, anterior division",21,3.778,11.69,0,0,3.299e-08,21
"Parahippocampal Gyrus, posterior division",5,,,,,,
Lingual Gyrus,80,25.95,7.595,24.99,10.06,27.45,86
"Temporal Fusiform Cortex, anterior division",4,,,,,,
"Temporal Fusiform Cortex, posterior division",19,5.658,6.289,4.347,9.006,1.453e-06,85
Temporal Occipital Fusiform Cortex,27,20.53,3.652,21.11,6.12,20.67,3
Occipital Fusiform Gyrus,18,19.82,7.562,18.46,10.72,20.21,80
Frontal Operculum Cortex,2,,,,,,
Central Opercular Cortex,34,18.3,4.505,18.6,5.47,18.19,35
Parietal Operculum Cortex,5,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,144,30.82,10.8,33.21,13.41,31.5,91
Left Cerebral White Matter,2248,14.71,8.92,13.27,10.2,8.318e-05,95
Left Cerebral Cortex,4121,19.78,10.33,20.54,10.84,1.925e-05,98
Left Lateral Ventricle,61,8.925,6.326,7.5,10.55,8.809,75
Left Thalamus,84,22.99,7.03,20.84,9.757,23.36,77
Left Caudate,25,12.06,6.796,12.23,11.35,11.85,75
Left Putamen,51,18.49,4.347,18.2,6.682,18.91,9
Left Pallidum,17,16.19,5.125,16.59,4.194,16.11,50
Brain-Stem,231,13.1,7.332,12.93,12.01,1.296e-05,89
Left Hippocampus,23,20.43,4.942,21.22,7.517,20.26,23
Left Amygdala,13,23.19,3.865,21.96,4.573,22.65,0
Left Accumbens,3,,,,,,
Right Cerebral White Matter,2191,12.63,8.117,11.45,9.71,8.718e-05,93
Right Cerebral Cortex,4129,17.93,9.262,18.29,9.855,1.597e-05,97
Right Lateral Ventricle,53,10.23,6.73,8.45,10.99,10.14,78
Right Thalamus,80,26.56,7.206,27.98,7.992,26.47,78
Right Caudate,28,11.34,4.428,10.72,7.679,10.68,40
Right Putamen,50,15.14,4.513,14.94,6.474,15.23,12
Right Pallidum,16,18.78,2.687,19.01,3.881,18.38,0
Right Hippocampus,30,27.26,7.541,26.84,9.537,24.74,43
Right Amygdala,16,17.38,3.943,16.36,6.517,17.17,0
Right Accumbens,3,,,,,,
